area_de_conservacion,departamento,base_legal,sup_ha,fecha_promulgacion
Los Chilchos,Amazonas,R.M. No 320-2012-MINAM,46000,2012-11-21
Chaparri,Lambayeque y Cajamarca,R.M. No 1324-2001-AG,34412,2001-12-19
Chaparri,Lambayeque y Cajamarca,R.M. No 1324-2001-AG,34412,2011-07-19
Chaparri,Lambayeque y Cajamarca,R.M. No 153-2011-MINAM,34412,2001-12-19
Chaparri,Lambayeque y Cajamarca,R.M. No 153-2011-MINAM,34412,2011-07-19
Bosques Montanos y Paramos Chicuate - Chinguelas,Piura,R.M. N? 138-2016-MINAM,27107.45,2016-06-04
Llamapampa - La Jalca,Amazonas,R.M. N? 089-2015-MINAM,17502.93,2015-04-17
Llamapampa - La Jalca,Amazonas,R.M. N? 089-2015-MINAM,17502.93,2021-03-19
Llamapampa - La Jalca,Amazonas,R.M. N? 056-2021-MINAM,17502.93,2015-04-17
Llamapampa - La Jalca,Amazonas,R.M. N? 056-2021-MINAM,17502.93,2021-03-19
Huayllapa,Lima,R.M. No 909-2005-AG,21106.57,2005-12-13
Huayllapa,Lima,R.M. No 909-2005-AG,21106.57,2007-03-06
Huayllapa,Lima,R.M. No 202-2007-AG,21106.57,2005-12-13
Huayllapa,Lima,R.M. No 202-2007-AG,21106.57,2007-03-06
San Pedro de Chuquibamba,Amazonas,R.M. N? 359-2015-MINAM,19560,2015-12-30
Lomas de Atiquipa,Arequipa,R.M. No 165-2011-MINAM,19028.02,2011-07-26
Lomas de Atiquipa,Arequipa,R.M. No 165-2011-MINAM,19028.02,2022-01-21
Lomas de Atiquipa,Arequipa,R.M. No 018-2022-MINAM,19028.02,2011-07-26
Lomas de Atiquipa,Arequipa,R.M. No 018-2022-MINAM,19028.02,2022-01-21
Japu - Bosque Ukumari Llaqta,Cusco,R.M. No 301-2011-MINAM,18695.75,2011-12-22
Paramos y Bosques Montanos San Miguel de Tabaconas,Cajamarca,R.M No 432-2018-MINAM,17555.95,2018-12-11
Pacllon,Ancash,R.M. No 908-2005-AG,12896.56,2005-12-13
Jirishanca,Huanuco,R.M. No 346-2007-AG,12172.91,2007-04-24
Copallin,Amazonas,R.M. No 140-2011-MINAM,11549.21,2011-06-24
Bosque de Palmeras de la Comunidad Campesina Taulia Molinopampa,Amazonas,R.M. No 252-2012-MINAM,10920.84,2012-09-20
"Los Bosques de Dotor, Hualtacal, Pueblo Libre, La Jardina y Chorro Blanco",Piura,R.M. N? 084-2016-MINAM,9944.73,2016-04-04
