area_de_conservacion,departamento,base_legal,fecha_de_promulgacion,superficie_hectareas
Vista Alegre-Omia,Amazonas,D.S. No 005-2018-MINAM,2018-06-17,48944.51
Bosques Tropicales Estacionalmente Secos del Maranon,Amazonas,D.S. No 006-2018-MINAM,2018-06-17,13929.12
Bosque de Puya Raymondi - Titankayocc,Ayacucho,D.S. No 023-2010-MINAM,2010-12-23,6272.39
Paramos y Bosques Montanos de Jaen y Tabaconas,Cajamarca,D.S. No 005-2021-MINAM,2021-05-06,31537.23
"Bosques El Chaupe, Cunia y Chinchiquilla",Cajamarca,D.S. No 008-2019-MINAM,2019-10-01,21868.88
Bosques Secos del Maranon,Cajamarca,D.S. No 007-2021-MINAM,2021-05-13,21794.71
Humedales de Ventanilla,Callao,D.S. No 074-2006-AG,2006-12-19,275.45
Choquequirao,Cusco,D.S. No 022-2010-MINAM,2010-12-23,103814.39
Chuyapi Urusayhua,Cusco,D.S. No 003-2021-MINAM,2021-03-25,80190.78
Ausangate,Cusco,D.S. No 012-2019-MINAM,2019-12-12,66514.17
Q'eros Kosnipata,Cusco,D.S. No 015-2021-MINAM,2021-07-24,55319.97
Tres Canones,Cusco,D.S. No 006-2017-MINAM,2017-08-24,39485.11
Bosque Nublado Amaru-Huachocolpa-Chihuana,Huancavelica,D.S. No 032-2021-MINAM,2021-11-06,5024.18
Bosque Montano de Carpish,Huanuco,D.S. No 014-2019-MINAM,2020-01-01,50559.21
Codo del Pozuzo,Huanuco,D.S. No 014-2021-MINAM,2021-07-24,10453.45
Laguna de Huacachina,Ica,D.S. No 008-2014-MINAM,2014-08-06,2407.72
Huaytapallana,Junin,D.S. No 018-2011-MINAM,2011-07-21,22406.52
Bosque Moyan - Palacio,Lambayeque,D.S. No 013-2011-MINAM,2011-06-22,8457.76
Bosque Huacrupe - La Calera,Lambayeque,D.S. No 012-2011-MINAM,2011-06-22,7272.27
Sistema de Lomas de Lima,Lima,D.S. No 011-2019-MINAM,2019-12-07,13475.74
Albufera de Medio Mundo,Lima,D.S. No 006-2007-AG,2007-01-24,687.71
Alto Nanay-Pintuyacu-Chambira,Loreto,D.S. No 005-2011-MINAM,2011-03-18,954635.48
Ampiyacu Apayacu,Loreto,D.S. No 024-2010-MINAM,2010-12-23,434129.54
Comunal Tamshiyacu Tahuayo,Loreto,D.S. No 010-2009-MINAM,2009-05-15,420080.25
Maijuna Kichwa,Loreto,D.S. No 008-2015-MINAM,2015-06-16,391039.82
Bosques Secos de Salitral - Huarmaca,Piura,D.S. No 019-2011-MINAM,2011-07-21,28811.86
Bosques de Shunte y Mishollo,San Martin,D.S. No 016-2018-MINAM,2018-12-15,191405.53
Cordillera Escalera,San Martin,D.S. No 045-2005-AG,2005-12-22,149870
Vilacota Maure,Tacna,D.S. No 015-2009-MINAM,2009-08-27,124313.18
Angostura Faical,Tumbes,D.S. No 006-2011-MINAM,2011-03-18,8794.5
Comunal Alto Tamaya - Abujao,Ucayali,D.S. No 021-2021-MINAM,2021-07-24,150010.82
Imiria,Ucayali,D.S. No 006-2010-MINAM,2010-06-15,135737.52
