departamento,año,hum_rel
Amazonas,2012,81.06
Amazonas,2013,87.445
Amazonas,2014,82.8641666666667
Amazonas,2015,80.5316666666667
Amazonas,2016,77.7
Amazonas,2017,79.24666666666667
Amazonas,2018,80.4333333333333
Amazonas,2019,80.8333333333333
Amazonas,2020,78.92500000000001
Amazonas,2021,80.43333333333334
Amazonas,2022,79
Apurimac,2012,86.5833333333333
Apurimac,2013,83.4941666666667
Apurimac,2014,78.6428571428571
Apurimac,2015,81.7441666666667
Apurimac,2016,80.2
Apurimac,2017,80.66166666666668
Apurimac,2018,80.475
Apurimac,2019,76.4416666666667
Apurimac,2020,NA
Apurimac,2021,73.67188653697025
Apurimac,2022,76
Arequipa,2012,54.3075
Arequipa,2013,50.555
Arequipa,2014,48.5191666666667
Arequipa,2015,48.3433333333333
Arequipa,2016,47
Arequipa,2017,50.94833333333333
Arequipa,2018,48.3416666666667
Arequipa,2019,53.5666666666667
Arequipa,2020,NA
Arequipa,2021,51.04999999999999
Arequipa,2022,50
Ayacucho,2012,73.0528351069989
Ayacucho,2013,77.1658333333333
Ayacucho,2014,76.9341666666667
Ayacucho,2015,79.1216666666667
Ayacucho,2016,77.5
Ayacucho,2017,62.873333333333335
Ayacucho,2018,63.4666666666667
Ayacucho,2019,68.15
Ayacucho,2020,66.49999999999999
Ayacucho,2021,63.333333333333336
Ayacucho,2022,61
Cajamarca,2012,64.9244865050235
Cajamarca,2013,64.0391666666667
Cajamarca,2014,62.8291666666667
Cajamarca,2015,62.8866666666667
Cajamarca,2016,63.7
Cajamarca,2017,63.8425
Cajamarca,2018,61.9583333333333
Cajamarca,2019,65.8083333333333
Cajamarca,2020,61.733333333333334
Cajamarca,2021,65.28333333333335
Cajamarca,2022,62
Cusco,2012,67.4801682614778
Cusco,2013,73.7591666666667
Cusco,2014,67.9308333333333
Cusco,2015,69.0716666666667
Cusco,2016,64.2
Cusco,2017,68.235
Cusco,2018,69.6583333333333
Cusco,2019,72.4416666666667
Cusco,2020,69.9
Cusco,2021,74.4
Cusco,2022,73
Huancavelica,2012,83.6210969878832
Huancavelica,2013,84.2591666666667
Huancavelica,2014,85.67
Huancavelica,2015,84.5758333333333
Huancavelica,2016,83.6
Huancavelica,2017,85.2075
Huancavelica,2018,86.2833333333333
Huancavelica,2019,86.15
Huancavelica,2020,85.71428571428571
Huancavelica,2021,81.08333333333333
Huancavelica,2022,87
Huanuco,2012,64.5474064085738
Huanuco,2013,65.65
Huanuco,2014,64.67
Huanuco,2015,64.046
Huanuco,2016,62.1
Huanuco,2017,64.63916666666667
Huanuco,2018,66.3916666666667
Huanuco,2019,66.6416666666667
Huanuco,2020,64.03333333333335
Huanuco,2021,64.31666666666666
Huanuco,2022,63
Ica,2012,70.3514583333333
Ica,2013,67.815
Ica,2014,73.6375
Ica,2015,73.0958333333333
Ica,2016,67.5
Ica,2017,66.89166666666667
Ica,2018,66.825
Ica,2019,69.6916666666667
Ica,2020,69.7
Ica,2021,71.28
Ica,2022,69
Junin,2012,63.3033586284571
Junin,2013,62.0241666666667
Junin,2014,59.0883333333333
Junin,2015,58.7575
Junin,2016,55.7
Junin,2017,57.62083333333334
Junin,2018,59.3333333333333
Junin,2019,59.1181818181818
Junin,2020,58.775
Junin,2021,59.68333333333333
Junin,2022,70
La Libertad,2012,87.3752968672778
La Libertad,2013,91.9983333333333
La Libertad,2014,90.7258333333333
La Libertad,2015,85.3233333333333
La Libertad,2016,84.9
La Libertad,2017,85.50272727272726
