titulo,link
"1. Temperatura promedio anual, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/1_27.xlsx
"2. Temperatura máxima promedio anual, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/2_26.xlsx
"3. Temperatura del aire promedio, mínima y máxima anual por estación de medición, 2009-2020",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/3_18.xlsx
"4. Precipitación total anual, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/4_18.xlsx
"5. Humedad relativa promedio, mínima y máxima anual por estación de medición, 2013-2020",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/5_15.xlsx
"6. Humedad relativa promedio anual, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/6_18.xlsx
"7. Humedad relativa, temperatura del aire y precipitación por región natural, 1996-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7_19.xlsx
"8. Cursos de agua superficial de la región hidrográfica Pacífico, 2018",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8_14.xlsx
"9. Cursos de agua superficial de la región hidrográfica Amazonas, 2018",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/9_12.xlsx
"10. Cursos de agua superficial de la región hidrográfica del Titicaca, 2018",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/10_11.xlsx
11. Longitud aproximada de ríos de las fronteras internacionales,https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/11_11.xlsx
"12. Superficie agropecuaria por usos de la tierra, según ámbito geográfico, 2021-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/12_12.xlsx
"13. Superficie agrícola por usos de la tierra, según ámbito geográfico, 2021-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/13_11.xlsx
"14. Superficie no agrícola por uso de la tierra, según ámbito geográfico, 2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/14_11.xlsx
"15. Superficie agrícola y unidades agropecuarias por cultivo en secano por tamaño, según ámbito geográfico, 2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/15_10.xlsx
"16. Superficie agrícola y unidades agropecuarias bajo riego, por tamaño y según ámbito geográfico, 2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/16_11.xlsx
"17. Superficie agrícola cultivada y cosechada, según ámbito geográfico, 2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/17_7.xlsx
"18. Áreas naturales protegidas por el Estado, según categoría, 2020-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/18_10.xlsx
"19. Cobertura por zonas protegidas de áreas naturales para la diversidad biológica, 2015-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/19_10.xlsx
