departamento,año,sup_ha
Amazonas,2013,2866753
Amazonas,2014,2861554
Amazonas,2015,2854623
Amazonas,2016,2847639
Amazonas,2017,2839184
Amazonas,2018,2831731
Amazonas,2019,2825927
Amazonas,2020,2814385.57
Amazonas,2021,2810056.5
Ayacucho,2013,217011
Ayacucho,2014,216239
Ayacucho,2015,215426
Ayacucho,2016,214446
Ayacucho,2017,211665
Ayacucho,2018,209922
Ayacucho,2019,207755
Ayacucho,2020,205044.57
Ayacucho,2021,204151.23
Cajamarca,2013,354372
Cajamarca,2014,353224
Cajamarca,2015,352150
Cajamarca,2016,350260
Cajamarca,2017,348038
Cajamarca,2018,346762
Cajamarca,2019,346162
Cajamarca,2020,344558.57
Cajamarca,2021,344175.21
Cusco,2013,3101359
Cusco,2014,3096272
Cusco,2015,3091464
Cusco,2016,3085764
Cusco,2017,3073583
Cusco,2018,3063940
Cusco,2019,3056838
Cusco,2020,3047979.42
Cusco,2021,3042630.18
Huancavelica,2013,17724
Huancavelica,2014,17649
Huancavelica,2015,17576
Huancavelica,2016,17337
Huancavelica,2017,17318
Huancavelica,2018,17299
Huancavelica,2019,17208
Huancavelica,2020,17036.28
Huancavelica,2021,17014.32
Huanuco,2013,1650472
Huanuco,2014,1622877
Huanuco,2015,1599965
Huanuco,2016,1581767
Huanuco,2017,1562531
Huanuco,2018,1545972
Huanuco,2019,1531015
Huanuco,2020,1513103.54
Huanuco,2021,1498083.03
Junin,2013,1908521
Junin,2014,1896244
Junin,2015,1887191
Junin,2016,1870813
Junin,2017,1859386
Junin,2018,1850889
Junin,2019,1836929
Junin,2020,1816163.0099999998
Junin,2021,1804080.69
La Libertad,2013,68710
La Libertad,2014,68661
La Libertad,2015,68555
La Libertad,2016,68478
La Libertad,2017,68371
La Libertad,2018,68228
La Libertad,2019,68191
La Libertad,2020,68062.56
La Libertad,2021,68037.66
Loreto,2013,35199610
Loreto,2014,35162046
Loreto,2015,35130378
Loreto,2016,35093227
Loreto,2017,35074145
Loreto,2018,35047942
Loreto,2019,35024802
Loreto,2020,34990024.23
Loreto,2021,34970194.89
Madre de Dios,2013,8003527
Madre de Dios,2014,7987761
Madre de Dios,2015,7969959
Madre de Dios,2016,7952904
Madre de Dios,2017,7929236
Madre de Dios,2018,7905744
Madre de Dios,2019,7884366
Madre de Dios,2020,7861327.02
Madre de Dios,2021,7838184.959999999
Pasco,2013,1426946
Pasco,2014,1416959
Pasco,2015,1409481
Pasco,2016,1401978
Pasco,2017,1393888
Pasco,2018,1388278
Pasco,2019,1382242
Pasco,2020,1373564.58
Pasco,2021,1367967.7799999998
Piura,2013,42395
Piura,2014,42329
Piura,2015,42217
Piura,2016,42018
Piura,2017,41552
Piura,2018,41492
Piura,2019,41466
Piura,2020,41397.56
Piura,2021,41372.729999999996
Puno,2013,1442416
Puno,2014,1439473
Puno,2015,1437657
Puno,2016,1435548
Puno,2017,1429774
Puno,2018,1423073
Puno,2019,1419357
Puno,2020,1413756.09
Puno,2021,1411865.19
San Martin,2013,3447506
San Martin,2014,3421106
San Martin,2015,3399005
San Martin,2016,3378417
San Martin,2017,3365916
San Martin,2018,3344540
San Martin,2019,3333506
San Martin,2020,3313356.56
San Martin,2021,3300276.51
Ucayali,2013,9484633
Ucayali,2014,9451995
Ucayali,2015,9422280
Ucayali,2016,9392669
Ucayali,2017,9362764
Ucayali,2018,9336773
Ucayali,2019,9298396
Ucayali,2020,9251129.58
Ucayali,2021,9214824.24
