departamento,año,temperatura_max
Amazonas,2012,19.86916666666667
Amazonas,2013,20.1883333333333
Amazonas,2014,20.035
Amazonas,2015,20.0225
Amazonas,2016,20.9
Amazonas,2017,20.3141666666667
Amazonas,2018,20.05
Amazonas,2019,20.025
Amazonas,2020,20.5
Amazonas,2021,19.958333333333332
Amazonas,2022,20.2
Apurímac,2012,21.272222222222222
Apurímac,2013,20.7725
Apurímac,2014,21.4485714285714
Apurímac,2015,21.1016666666667
Apurímac,2016,22.3
Apurímac,2017,20.9225
Apurímac,2018,20.9166666666667
Apurímac,2019,21.25
Apurímac,2020,NA
Apurímac,2021,20.873405657962106
Apurímac,2022,22.1
Arequipa,2012,22.5125
Arequipa,2013,23.16
Arequipa,2014,23.1075
Arequipa,2015,24.0933333333333
Arequipa,2016,25
Arequipa,2017,23.4708333333333
Arequipa,2018,23.55
Arequipa,2019,24.4416666666667
Arequipa,2020,NA
Arequipa,2021,24.466666666666665
Arequipa,2022,23.9
Ayacucho,2012,26.176451612903225
Ayacucho,2013,26.5975
Ayacucho,2014,27.3558333333333
Ayacucho,2015,26.5033333333333
Ayacucho,2016,28.2
Ayacucho,2017,26.7833333333333
Ayacucho,2018,25.6416666666667
Ayacucho,2019,26.36
Ayacucho,2020,27.620000000000005
Ayacucho,2021,27.191666666666666
Ayacucho,2022,28.2
Cajamarca,2012,21.494525089605734
Cajamarca,2013,21.925
Cajamarca,2014,21.9508333333333
Cajamarca,2015,22.0458333333333
Cajamarca,2016,22.7
Cajamarca,2017,21.8091666666667
Cajamarca,2018,21.5916666666667
Cajamarca,2019,21.7333333333333
Cajamarca,2020,22.58888888888889
Cajamarca,2021,22.008333333333336
Cajamarca,2022,21.8
Cusco,2012,21.781209677419355
Cusco,2013,21.8483333333333
Cusco,2014,21.47
Cusco,2015,21.1916666666667
Cusco,2016,22
Cusco,2017,21.205
Cusco,2018,20.7333333333333
Cusco,2019,21.0666666666667
Cusco,2020,21.720000000000002
Cusco,2021,21.4
Cusco,2022,22.2
Huancavelica,2012,16.2031541218638
Huancavelica,2013,17.0875
Huancavelica,2014,16.4641666666667
Huancavelica,2015,16.8433333333333
Huancavelica,2016,18
Huancavelica,2017,16.795
Huancavelica,2018,16.8333333333333
Huancavelica,2019,17.2083333333333
Huancavelica,2020,16.724999999999998
Huancavelica,2021,16.741666666666667
Huancavelica,2022,17.7
Huánuco,2012,26.245456989247312
Huánuco,2013,26.4575
Huánuco,2014,26.535
Huánuco,2015,26.7916666666667
Huánuco,2016,27.6
